tconst,title,year,genres,title_type,imdb_rating,num_votes,runtime,score_personal,score_pop,score_final
tt7366338,Chernobyl,2019,"Drama, History, Thriller",movie,9.3,968181,Unknown,0.6698440141104384,10.706788495058369,1.2459967003277894
tt9362722,Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",movie,8.5,474003,Unknown,0.6649366919003828,10.461709403092772,1.1678439135077197
tt15435876,The Penguin,2024,"Crime, Drama",movie,8.6,207378,Unknown,0.6628884100367403,10.21722017311723,1.1200048473513955
tt12637874,Fallout,2024,"Action, Adventure, Drama, Sci-Fi",movie,8.3,327796,Unknown,0.6629233168379908,10.229587023135766,1.1161239815169348
tt11280740,Severance,2022,"Drama, Mystery, Sci-Fi, Thriller",movie,8.7,337627,Unknown,0.6638373237466352,10.121640715394644,1.1138194940699346
tt10872600,Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy, Sci-Fi",movie,8.2,970565,Unknown,0.6642958098485474,10.02594413123505,1.0923277993812297
tt7286456,Joker,2019,"Crime, Drama, Thriller",movie,8.3,1632055,Unknown,0.6655456424518371,9.917531938380028,1.0852527290527902
tt6751668,Parasite,2019,"Drama, Thriller",movie,8.5,1089857,Unknown,0.6650866326357636,9.869823675213233,1.0791967011778194
tt1190634,The Boys,2019,"Action, Comedy, Crime, Drama, Sci-Fi",movie,8.6,795446,Unknown,0.6643563151439211,9.759737479365853,1.0603876994126824
tt14452776,The Bear,2022,"Comedy, Drama",movie,8.5,286323,Unknown,0.6617689570563308,9.760919788939,1.042758300746733
tt1877830,The Batman,2022,"Action, Crime, Drama, Mystery, Thriller",movie,7.8,888527,Unknown,0.6621365700117051,9.76435919049176,1.0307622678667867
tt29623480,The Wild Robot,2024,"Animation, Adventure, Family, Sci-Fi",movie,8.2,192182,Unknown,0.6598695000006755,9.68144289280334,1.011661252009103
tt6791350,Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy, Sci-Fi",movie,7.9,442416,Unknown,0.6606248184912595,9.671927827341175,1.0090757638227281
tt6263850,Deadpool & Wolverine,2024,"Action, Adventure, Comedy, Sci-Fi",movie,7.5,520147,Unknown,0.6596259346546218,9.579657494651293,0.9787804577009869
tt4633694,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",movie,8.4,746353,Unknown,0.661916028513923,9.207655399389274,0.9584816970607541
tt8579674,1917,2019,"Action, Drama, War",movie,8.2,739602,Unknown,0.6613629483696567,9.255940304429082,0.9582210154575803
tt3032476,Better Call Saul,2015,"Crime, Drama",movie,9.0,753483,Unknown,0.6636349446045476,9.022585686717445,0.9517236833619608
tt14230458,Poor Things,2023,"Comedy, Drama, Romance, Sci-Fi",movie,7.8,350307,Unknown,0.6589060536699587,9.37801878138581,0.9512386703814689
tt16311594,F1: The Movie,2025,"Action, Drama, Sport",movie,7.9,145215,Unknown,0.6575842527297135,9.389922278830216,0.9453883427707837
tt13991232,1883,2021,"Drama, Western",movie,8.7,148431,Unknown,0.659265157354534,9.188369365994296,0.9448912265914967
tt13210838,The Gentlemen,2024,"Action, Comedy, Crime",movie,8.0,166811,Unknown,0.6578859597247637,9.335393120261639,0.9420517773245192
tt14688458,Silo,2023,"Drama, Mystery, Sci-Fi",movie,8.1,192767,Unknown,0.6582438068245926,9.283054530959566,0.9392624693762204
tt12361974,Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy, Sci-Fi",movie,7.9,461949,Unknown,0.6589748291494616,9.138950071083825,0.918523666950587
tt10366206,John Wick: Chapter 4,2023,"Action, Crime, Thriller",movie,7.6,390090,Unknown,0.6580408372905392,9.214547077175897,0.9162619525956214
tt24053860,The Day of the Jackal,2024,"Action, Crime, Drama, Thriller",movie,8.1,110285,Unknown,0.6566966232035795,9.126821057422719,0.9048348515269904
