tconst,title,year,genres,title_type,imdb_rating,num_votes,runtime,score_personal,score_pop,score_final
tt7366338,Chernobyl,2019,"Drama, History, Thriller",movie,9.3,968181,Unknown,0.6698440141104384,10.706788495058369,1.2459967003287886
tt9362722,Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",movie,8.5,474003,Unknown,0.6649366919003828,10.461709403092772,1.1678439514826726
tt15435876,The Penguin,2024,"Crime, Drama",movie,8.6,207378,Unknown,0.6628884100367403,10.21722017311723,1.1200048475395916
tt12637874,Fallout,2024,"Action, Adventure, Drama, Sci-Fi",movie,8.3,327796,Unknown,0.6629233168379908,10.229587023135766,1.1161240197949136
tt11280740,Severance,2022,"Drama, Mystery, Sci-Fi, Thriller",movie,8.7,337627,Unknown,0.6638373237466352,10.121640715394644,1.11381949508147
tt10872600,Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy, Sci-Fi",movie,8.2,970565,Unknown,0.6642958098485474,10.02594413123505,1.0923301823607128
tt7286456,Joker,2019,"Crime, Drama, Thriller",movie,8.3,1632055,Unknown,0.6655456424518371,9.917531938380028,1.085267765637282
tt6751668,Parasite,2019,"Drama, Thriller",movie,8.5,1089857,Unknown,0.6650866326357636,9.869823675213233,1.079334167657351
tt1190634,The Boys,2019,"Action, Comedy, Crime, Drama, Sci-Fi",movie,8.6,795446,Unknown,0.6643563151439211,9.759737479365853,1.0603876997210464
tt14452776,The Bear,2022,"Comedy, Drama",movie,8.5,286323,Unknown,0.6617689570563308,9.760919788939,1.0427583172773736
