alpha,l1_ratio,mean_rmse,std_rmse,mean_r2,std_r2,fold_rmses,fold_r2s
0.1,0.1,1.385855530022121,0.0945836616297983,0.23439709817639937,0.054498646831400134,"[1.405616168223443, 1.459258239833982, 1.377963971557965, 1.4759863269763935, 1.2104529435188212]","[0.18294581664525988, 0.17863084839853993, 0.28973423893901196, 0.21193575970642886, 0.30873882719275625]"
0.01,0.9,1.3954952964935594,0.1168405433079577,0.22307675372790925,0.08309345188066318,"[1.4393941096011162, 1.4871172093316578, 1.3596133264696617, 1.5064326065498757, 1.1849192305154852]","[0.14320521962669996, 0.1469696598349466, 0.3085258009299592, 0.17908844804686674, 0.33759464020107366]"
0.01,0.7,1.3982432939677838,0.11895550155224277,0.22010215979583525,0.08422430475908137,"[1.4406837219649193, 1.4886508725875718, 1.3639197491509112, 1.5144284807447417, 1.1835336453907752]","[0.141669256526457, 0.14520929301880936, 0.30413852991896373, 0.17035081785658523, 0.3391429016583609]"
0.1,0.3,1.404716213783291,0.09532091005846471,0.21377043096701237,0.050077450093552335,"[1.4049880478027497, 1.4826613294841056, 1.4096569281657136, 1.4970643306787568, 1.229210432785129]","[0.18367587903580884, 0.15207390605041415, 0.2566865098058305, 0.1892669488894494, 0.2871489110535588]"
0.01,0.5,1.4047230275504474,0.12158928252121122,0.2130438983768725,0.08534919630062791,"[1.4475895118654367, 1.4948921490394396, 1.381116293410045, 1.5194298791930076, 1.180587304244307]","[0.13342086994900504, 0.13802672407041294, 0.28648081961533844, 0.16486193820370898, 0.3424291400458971]"
0.1,0.5,1.4141051165232064,0.09234995074619988,0.20329473532958503,0.04487457208062687,"[1.4071252015563038, 1.4888714122183853, 1.4252328260063487, 1.504583259288055, 1.244712883546939]","[0.18119053826492548, 0.14495600436070355, 0.2401693861998072, 0.18110276804752923, 0.26905497977495973]"
0.01,0.3,1.4148137953866917,0.12418276005567942,0.2018487866512091,0.08686125664256375,"[1.456883693852686, 1.5065420736493778, 1.4009781413158087, 1.5273664544046004, 1.1822986137109877]","[0.12225748460237007, 0.12453939280670767, 0.2658110006046388, 0.15611464844577572, 0.34052140679655307]"
0.1,0.7,1.4225957941307423,0.09018271871773365,0.19377927483433907,0.0399189281915188,"[1.4085980879932423, 1.4929159307099547, 1.4405776248579638, 1.5128011300347892, 1.2580861970577628]","[0.17947548897555432, 0.14030424145033116, 0.2237198439770408, 0.17213288257857406, 0.25326391719019503]"
0.01,0.1,1.4276476299590848,0.12414602935913854,0.18735908553967082,0.08693824977110534,"[1.4699477839666448, 1.5199279547848812, 1.418400272168262, 1.5364694253223206, 1.1934927135533147]","[0.10644521339929103, 0.10891304735738017, 0.24743716628280166, 0.14602570690827732, 0.32797429375060394]"
0.1,0.9,1.4290781159935808,0.09012468252227451,0.1865044108998766,0.03764239299564535,"[1.4154367658231037, 1.4920752847925165, 1.4518176929586006, 1.5221458721404164, 1.2639149642532674]","[0.17148893250267983, 0.14127214090445805, 0.21155877513901267, 0.16187363797903764, 0.24632856797419478]"
1.0,0.1,1.4822226095136064,0.08410009734214861,0.12478760757151788,0.023822274616312672,"[1.4561504419384708, 1.5330745683658449, 1.5238499500816947, 1.567679616573141, 1.3303584706088811]","[0.12314080070818356, 0.09343147237798788, 0.13138052003669498, 0.1109799093782462, 0.16500533535647677]"
